ID,Segment 
2,1
3,3
6,3
8,1
9,3
10,2
11,1
12,2
13,3
14,1
15,1
16,3
17,3
18,3
19,1
21,3
22,1
23,3
24,3
25,1
26,1
27,1
29,1
30,1
31,2
32,3
34,1
35,3
38,3
40,2
41,1
43,3
45,2
47,1
48,2
50,1
51,1
52,1
53,2
54,1
55,3
56,3
57,1
58,1
60,2
61,3
62,2
63,1
64,2
65,2
66,3
67,3
83,2
84,1
85,2
86,3
87,1
88,1
89,2
90,3
91,1
92,3
93,2
95,1
96,2
97,3
98,2
99,1
100,2
103,3
104,1
105,2
106,3
107,1
108,1
110,1
111,1
112,1
113,3
114,3
115,3
116,3
119,2
120,1
122,1
123,3
124,2
125,3
126,3
127,2
128,3
130,3
131,1
134,3
135,2
136,1
137,3
138,1
139,1
140,2
141,1
142,3
144,1
145,1
146,3
148,3
149,2
150,1
151,3
152,3
153,2
154,1
155,2
156,2
157,2
158,2
160,2
161,1
162,1
163,1
164,1
165,1
166,2
167,2
169,1
170,3
171,1
172,2
173,3
174,3
175,3
176,1
178,2
179,1
180,3
182,2
183,3
184,2
185,3
186,3
188,2
189,3
190,1
191,1
192,2
193,1
195,2
196,1
197,3
198,1
199,2
200,3
201,3
203,2
205,1
206,2
207,1
208,1
209,1
210,3
211,1
212,1
213,1
214,2
215,3
216,3
217,2
218,2
219,2
220,3
221,2
222,1
223,3
224,2
226,2
227,1
228,1
229,2
230,3
231,2
232,2
233,1
234,3
235,2
237,3
239,1
240,2
241,1
242,2
243,1
244,2
245,3
246,2
247,1
248,3
250,2
251,3
252,3
253,3
254,2
256,3
257,3
259,3
403,3
404,1
405,3
406,3
407,1
409,2
410,1
411,1
412,3
413,1
414,3
415,2
416,3
417,3
418,3
419,1
